[H[2J[3J--------------  -------  -----------  ------------  -------------  --------------
Fitness type    Mu Size  Lambda Size  Mutation STD  Mutation Rate  Crossover Rate
himmelblau_min  15       100          1             0.01           0.6
--------------  -------  -----------  ------------  -------------  --------------
########################################################################################
Generation 	 Candidate Evals 	 Best Fit 	 Average Fit 	 % same 	
84 		 8400 			 1618.2834 	 1618.2939 	 100.0000 %
85 		 8500 			 1618.2834 	 1618.2989 	 100.0000 %
86 		 8600 			 1618.2929 	 1618.3042 	 100.0000 %
87 		 8700 			 1618.2944 	 1618.3059 	 100.0000 %
88 		 8800 			 1618.2986 	 1618.3072 	 100.0000 %
89 		 8900 			 1618.2986 	 1618.3060 	 100.0000 %
90 		 9000 			 1618.3037 	 1618.3083 	 100.0000 %
91 		 9100 			 1618.3037 	 1618.3072 	 100.0000 %
92 		 9200 			 1618.3047 	 1618.3074 	 100.0000 %
93 		 9300 			 1618.3052 	 1618.3076 	 100.0000 %
94 		 9400 			 1618.3052 	 1618.3079 	 100.0000 %
95 		 9500 			 1618.3055 	 1618.3085 	 100.0000 %
96 		 9600 			 1618.3055 	 1618.3081 	 100.0000 %
97 		 9700 			 1618.3055 	 1618.3083 	 100.0000 %
98 		 9800 			 1618.3055 	 1618.3085 	 100.0000 %
99 		 9900 			 1618.3071 	 1618.3086 	 100.0000 %
100 		 10000 			 1618.3071 	 1618.3084 	 100.0000 %
Best fit 1.4498
