[H[2J[3J----------------  -------  -----------  ------------  -------------  --------------
Fitness type      Mu Size  Lambda Size  Mutation STD  Mutation Rate  Crossover Rate
himmelblau_task3  100      100          1             0.01           0.6
----------------  -------  -----------  ------------  -------------  --------------
########################################################################################
Generation 	 Candidate Evals 	 Best Fit 	 Average Fit 	 % same 	
89 		 17900 			 2.6938 	 113.6104 	 50.0000 %
90 		 18100 			 2.8057 	 111.9051 	 32.0000 %
91 		 18300 			 2.8057 	 105.7637 	 43.0000 %
92 		 18500 			 6.7764 	 91.4909 	 45.0000 %
93 		 18700 			 6.5287 	 96.0352 	 45.0000 %
94 		 18900 			 4.0199 	 96.0919 	 41.0000 %
95 		 19100 			 6.5287 	 97.0897 	 40.0000 %
96 		 19300 			 4.2503 	 94.1879 	 31.0000 %
97 		 19500 			 2.1388 	 109.8992 	 39.0000 %
98 		 19700 			 2.1388 	 94.9743 	 47.0000 %
99 		 19900 			 5.1929 	 78.2041 	 37.0000 %
100 		 20100 			 3.4358 	 75.2825 	 37.0000 %
101 		 20300 			 5.1929 	 76.9329 	 36.0000 %
102 		 20500 			 3.6741 	 81.8282 	 37.0000 %
103 		 20700 			 3.2092 	 81.4129 	 44.0000 %
104 		 20900 			 3.2092 	 81.1481 	 51.0000 %
105 		 21100 			 1.0437 	 82.1649 	 47.0000 %
106 		 21300 			 3.2092 	 80.4397 	 34.0000 %
107 		 21500 			 0.5635 	 68.5503 	 28.0000 %
108 		 21700 			 0.2094 	 73.2839 	 40.0000 %
109 		 21900 			 0.2094 	 70.9213 	 31.0000 %
110 		 22100 			 3.0057 	 76.0879 	 44.0000 %
111 		 22300 			 3.0057 	 79.5628 	 38.0000 %
112 		 22500 			 3.0057 	 81.4967 	 35.0000 %
113 		 22700 			 0.7932 	 85.8972 	 41.0000 %
114 		 22900 			 0.7932 	 77.2528 	 44.0000 %
115 		 23100 			 0.1561 	 77.6888 	 36.0000 %
116 		 23300 			 10.0039 	 76.2835 	 52.0000 %
117 		 23500 			 9.3736 	 72.3668 	 46.0000 %
118 		 23700 			 9.1914 	 74.0907 	 34.0000 %
119 		 23900 			 21.6509 	 75.8224 	 47.0000 %
120 		 24100 			 3.8245 	 84.8994 	 36.0000 %
121 		 24300 			 6.9268 	 79.2367 	 40.0000 %
122 		 24500 			 2.2293 	 80.6089 	 46.0000 %
123 		 24700 			 9.5814 	 79.8969 	 34.0000 %
124 		 24900 			 5.5585 	 79.0309 	 43.0000 %
125 		 25100 			 25.6250 	 77.5283 	 40.0000 %
126 		 25300 			 3.2519 	 84.9074 	 42.0000 %
127 		 25500 			 4.5457 	 92.1742 	 41.0000 %
